Name, Path, Extension, Size, Last Modified
api-ms-win-core-console-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-console-l1-1-0.dll,.dll,20.52kb ,18967 days, 8:00:00
api-ms-win-core-console-l1-2-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-console-l1-2-0.dll,.dll,20.096kb ,18967 days, 8:00:00
api-ms-win-core-datetime-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-datetime-l1-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-debug-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-debug-l1-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-errorhandling-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-errorhandling-l1-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-file-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-file-l1-1-0.dll,.dll,23.168kb ,18967 days, 8:00:00
api-ms-win-core-file-l1-2-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-file-l1-2-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-file-l2-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-file-l2-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-handle-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-handle-l1-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-heap-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-heap-l1-1-0.dll,.dll,19.584kb ,18967 days, 8:00:00
api-ms-win-core-interlocked-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-interlocked-l1-1-0.dll,.dll,20.096kb ,18967 days, 8:00:00
api-ms-win-core-libraryloader-l1-1-0.dll,D:\CELSYS\CLIP STUDIO 1.5\CLIP STUDIO\api-ms-win-core-libraryloader-l1-1-0.dll,.dll,20.608kb ,18967 days, 8:00:00
